POINTS,COORDINATES,DISTANCE,ANGLE
1,"(270, 2840)",0.0,0
2,"(380, 2730)",155.56,135
3,"(380, 2570)",160.0,135
4,"(480, 2470)",141.42,135
5,"(480, 2460)",10.0,135
6,"(490, 2450)",14.14,135
7,"(490, 2430)",20.0,135
8,"(550, 2370)",84.85,135
9,"(610, 2370)",60.0,135
10,"(620, 2360)",14.14,135
11,"(1250, 2360)",630.0,135
12,"(1260, 2350)",14.14,135
13,"(1280, 2350)",20.0,135
14,"(1300, 2330)",28.28,135
15,"(1300, 2310)",20.0,135
16,"(1310, 2300)",14.14,135
17,"(1310, 1170)",1130.0,135
18,"(1320, 1160)",14.14,135
19,"(1320, 1150)",10.0,135
20,"(1330, 1140)",14.14,135
21,"(1330, 720)",420.0,135
22,"(1340, 710)",14.14,135
23,"(1340, 690)",20.0,135
24,"(1530, 500)",268.7,135
25,"(1540, 500)",10.0,135
26,"(1550, 490)",14.14,135
27,"(1560, 490)",10.0,135
28,"(1570, 480)",14.14,135
29,"(1580, 480)",10.0,135
30,"(1590, 470)",14.14,135
31,"(1600, 470)",10.0,135
32,"(1610, 460)",14.14,135
33,"(1630, 460)",20.0,135
34,"(1640, 450)",14.14,0
